"Marker, Advisory Speed XX MPH (Text )",FLATSHEET,LEGEND,FAIR,DENTS,SOUTHWEST,ONE POST,RIGHT,STEEL
"Marker, Speed Limit XX (Text)",FLATSHEET,45,GOOD,,EAST,ONE POST,LEFT,STEEL
"Marker, Speed Limit XX (Text)",FLATSHEET,40,GOOD,,EAST,ONE POST,LEFT,STEEL
"Marker, Speed Limit XX (Text)",FLATSHEET,65,GOOD,,SOUTHEAST,ONE POST,RIGHT,WOOD
"Marker, Speed Limit XX (Text)",FLATSHEET,55,GOOD,,NORTH,ONE POST,LEFT,STEEL
"Marker, Speed Limit XX (Text)",FLATSHEET,40,FAIR,BENT,WEST,ONE POST,RIGHT,STEEL
"Marker, Speed Limit XX (Text)",FLATSHEET,60,GOOD,,NORTH,ONE POST,LEFT,WOOD
"Marker, Advisory Speed XX MPH (Text )",FLATSHEET,25,GOOD,,NORTHWEST,ONE POST,LEFT,STEEL
"Marker, Advisory Speed XX MPH (Text )",FLATSHEET,20,GOOD,,EAST,ONE POST,LEFT,STEEL
"Marker, Advisory Speed XX MPH (Text )",FLATSHEET,10,GOOD,,NORTH,ONE POST,LEFT,STEEL
"Marker, Advisory Speed XX MPH (Text )",FLATSHEET,45,GOOD,,SOUTHWEST,ONE POST,RIGHT,STEEL
"Marker, Speed Limit XX (Text)",FLATSHEET,65,GOOD,,SOUTHEAST,ONE POST,LEFT,WOOD
"Marker, Advisory Speed XX MPH (Text )",FLATSHEET,35,GOOD,,SOUTHWEST,ONE POST,RIGHT,STEEL
"Marker, Advisory Speed XX MPH (Text )",FLATSHEET,65,GOOD,,WEST,ONE POST,RIGHT,STEEL
"Marker, Advisory Speed XX MPH (Text )",FLATSHEET,55,GOOD,,SOUTHWEST,ONE POST,LEFT,STEEL
"Marker, Speed Limit XX (Text)",FLATSHEET,55,GOOD,,NORTHEAST,ONE POST,RIGHT,STEEL
"Marker, Speed Limit XX (Text)",FLATSHEET,55,GOOD,,SOUTHWEST,ONE POST,RIGHT,STEEL
"Marker, Advisory Speed XX MPH (Text )",FLATSHEET,30,FAIR,BENT,EAST,ONE POST,LEFT,STEEL
"Marker, Advisory Speed XX MPH (Text )",FLATSHEET,45,GOOD,,SOUTH,ONE POST,RIGHT,STEEL
"Marker, Advisory Speed XX MPH (Text )",FLATSHEET,25,GOOD,,NORTHWEST,ONE POST,RIGHT,STEEL
